Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.04,0.04,0.04,0.04,000,0.04
2013-09-19,0.04,0.04,0.04,0.04,000,0.04
2013-09-18,0.04,0.04,0.04,0.04,81900,0.04
2013-09-17,0.04,0.04,0.04,0.04,000,0.04
2013-09-16,0.04,0.04,0.04,0.04,000,0.04
2013-09-13,0.05,0.05,0.04,0.04,224500,0.04
2013-09-12,0.05,0.05,0.05,0.05,000,0.05
2013-09-11,0.05,0.05,0.05,0.05,41100,0.05
2013-09-10,0.05,0.05,0.05,0.05,30000,0.05
2013-09-09,0.05,0.05,0.05,0.05,1800,0.05
2013-09-06,0.05,0.05,0.05,0.05,000,0.05
2013-09-05,0.05,0.05,0.05,0.05,30000,0.05
2013-09-04,0.05,0.05,0.05,0.05,10100,0.05
2013-09-03,0.05,0.05,0.05,0.05,000,0.05
2013-09-02,0.05,0.05,0.05,0.05,49000,0.05
2013-08-30,0.05,0.05,0.05,0.05,000,0.05
2013-08-29,0.05,0.05,0.05,0.05,000,0.05
2013-08-28,0.05,0.05,0.05,0.05,000,0.05
2013-08-27,0.05,0.05,0.05,0.05,000,0.05
2013-08-26,0.05,0.05,0.05,0.05,000,0.05
2013-08-23,0.05,0.05,0.05,0.05,000,0.05
2013-08-22,0.05,0.05,0.05,0.05,62200,0.05
2013-08-21,0.05,0.05,0.05,0.05,120000,0.05
2013-08-20,0.05,0.05,0.05,0.05,000,0.05
2013-08-19,0.05,0.05,0.05,0.05,103800,0.05
2013-08-16,0.04,0.05,0.04,0.05,30000,0.05
2013-08-15,0.04,0.04,0.04,0.04,72300,0.04
2013-08-14,0.04,0.04,0.04,0.04,28300,0.04
2013-08-13,0.04,0.04,0.04,0.04,000,0.04
2013-08-12,0.04,0.04,0.04,0.04,000,0.04
2013-08-09,0.04,0.04,0.04,0.04,000,0.04
2013-08-08,0.04,0.04,0.04,0.04,3000,0.04
2013-08-07,0.04,0.04,0.04,0.04,2411100,0.04
2013-08-06,0.04,0.04,0.04,0.04,000,0.04
2013-08-05,0.04,0.04,0.04,0.04,1708500,0.04
2013-08-02,0.04,0.04,0.04,0.04,000,0.04
2013-08-01,0.04,0.04,0.04,0.04,000,0.04
2013-07-31,0.04,0.04,0.04,0.04,100000,0.04
2013-07-30,0.04,0.04,0.04,0.04,60000,0.04
2013-07-29,0.04,0.04,0.04,0.04,10000,0.04
2013-07-26,0.04,0.04,0.04,0.04,000,0.04
2013-07-25,0.04,0.04,0.04,0.04,000,0.04
2013-07-24,0.04,0.04,0.04,0.04,50000,0.04
2013-07-23,0.04,0.04,0.04,0.04,000,0.04
2013-07-19,0.04,0.04,0.04,0.04,000,0.04
2013-07-18,0.04,0.04,0.04,0.04,000,0.04
2013-07-17,0.04,0.04,0.04,0.04,000,0.04
2013-07-16,0.04,0.04,0.04,0.04,000,0.04
2013-07-15,0.04,0.04,0.04,0.04,000,0.04
2013-07-12,0.04,0.04,0.04,0.04,000,0.04
2013-07-11,0.04,0.04,0.04,0.04,000,0.04
2013-07-10,0.04,0.04,0.04,0.04,000,0.04
2013-07-09,0.04,0.04,0.04,0.04,000,0.04
2013-07-08,0.04,0.04,0.04,0.04,000,0.04
2013-07-05,0.04,0.04,0.04,0.04,37700,0.04
2013-07-04,0.04,0.04,0.04,0.04,000,0.04
2013-07-03,0.04,0.04,0.04,0.04,13000,0.04
2013-07-02,0.04,0.04,0.04,0.04,150000,0.04
2013-07-01,0.03,0.03,0.03,0.03,7500,0.03
2013-06-28,0.03,0.03,0.03,0.03,41200,0.03
2013-06-27,0.04,0.04,0.04,0.04,211000,0.04
2013-06-26,0.04,0.04,0.04,0.04,55700,0.04
2013-06-25,0.04,0.04,0.04,0.04,14000,0.04
2013-06-24,0.03,0.03,0.03,0.03,80000,0.03
2013-06-21,0.02,0.03,0.02,0.03,25000,0.03
2013-06-20,0.02,0.02,0.02,0.02,152300,0.02
2013-06-18,0.02,0.03,0.02,0.03,521600,0.03
2013-06-17,0.02,0.02,0.02,0.02,105400,0.02
2013-06-14,0.03,0.03,0.02,0.02,301700,0.02
2013-06-13,0.03,0.03,0.03,0.03,130000,0.03
2013-06-12,0.03,0.03,0.03,0.03,30000,0.03
2013-06-11,0.03,0.03,0.03,0.03,114900,0.03
2013-06-10,0.03,0.03,0.03,0.03,000,0.03
2013-06-07,0.03,0.03,0.03,0.03,1300,0.03
2013-06-06,0.04,0.04,0.04,0.04,10200,0.04
2013-06-05,0.04,0.04,0.04,0.04,000,0.04
2013-06-04,0.04,0.04,0.04,0.04,75000,0.04
2013-06-03,0.04,0.04,0.04,0.04,000,0.04
2013-05-31,0.04,0.04,0.04,0.04,000,0.04
2013-05-30,0.04,0.04,0.04,0.04,10000,0.04
2013-05-29,0.04,0.04,0.04,0.04,000,0.04
2013-05-28,0.04,0.04,0.04,0.04,4800,0.04
2013-05-27,0.04,0.04,0.04,0.04,45700,0.04
2013-05-24,0.04,0.04,0.04,0.04,000,0.04
2013-05-23,0.04,0.04,0.04,0.04,149200,0.04
2013-05-22,0.04,0.04,0.04,0.04,700,0.04
2013-05-21,0.04,0.04,0.04,0.04,159200,0.04
2013-05-20,0.04,0.04,0.04,0.04,000,0.04
