Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,385800,0.03
2013-09-19,0.03,0.03,0.03,0.03,25000,0.03
2013-09-18,0.03,0.03,0.03,0.03,20000,0.03
2013-09-17,0.03,0.03,0.03,0.03,31400,0.03
2013-09-16,0.03,0.03,0.03,0.03,200000,0.03
2013-09-13,0.03,0.03,0.03,0.03,000,0.03
2013-09-12,0.03,0.03,0.03,0.03,000,0.03
2013-09-11,0.03,0.03,0.03,0.03,131000,0.03
2013-09-10,0.03,0.03,0.03,0.03,195800,0.03
2013-09-09,0.03,0.03,0.03,0.03,000,0.03
2013-09-06,0.03,0.03,0.03,0.03,000,0.03
2013-09-05,0.03,0.03,0.03,0.03,000,0.03
2013-09-04,0.03,0.03,0.03,0.03,000,0.03
2013-09-03,0.03,0.03,0.03,0.03,000,0.03
2013-09-02,0.03,0.03,0.03,0.03,000,0.03
2013-08-30,0.03,0.03,0.03,0.03,000,0.03
2013-08-29,0.03,0.03,0.03,0.03,62500,0.03
2013-08-28,0.03,0.03,0.03,0.03,100000,0.03
2013-08-27,0.03,0.03,0.03,0.03,000,0.03
2013-08-26,0.03,0.03,0.03,0.03,000,0.03
2013-08-23,0.03,0.03,0.03,0.03,80000,0.03
2013-08-22,0.03,0.03,0.03,0.03,000,0.03
2013-08-21,0.03,0.03,0.03,0.03,000,0.03
2013-08-20,0.03,0.03,0.03,0.03,000,0.03
2013-08-19,0.03,0.03,0.03,0.03,000,0.03
2013-08-16,0.03,0.03,0.03,0.03,20000,0.03
2013-08-15,0.03,0.03,0.03,0.03,80000,0.03
2013-08-14,0.03,0.03,0.03,0.03,465000,0.03
2013-08-13,0.03,0.03,0.03,0.03,82500,0.03
2013-08-12,0.03,0.03,0.03,0.03,279700,0.03
2013-08-09,0.03,0.03,0.03,0.03,42400,0.03
2013-08-08,0.03,0.03,0.03,0.03,116400,0.03
2013-08-07,0.03,0.03,0.03,0.03,401700,0.03
2013-08-06,0.03,0.03,0.03,0.03,451800,0.03
2013-08-05,0.02,0.02,0.02,0.02,000,0.02
2013-08-02,0.02,0.02,0.02,0.02,91700,0.02
2013-08-01,0.03,0.03,0.03,0.03,000,0.03
2013-07-31,0.03,0.03,0.03,0.03,52500,0.03
2013-07-30,0.03,0.03,0.03,0.03,285000,0.03
2013-07-29,0.03,0.03,0.03,0.03,000,0.03
2013-07-26,0.03,0.03,0.03,0.03,20000,0.03
2013-07-25,0.02,0.02,0.02,0.02,000,0.02
2013-07-24,0.02,0.02,0.02,0.02,000,0.02
2013-07-23,0.02,0.02,0.02,0.02,000,0.02
2013-07-19,0.02,0.02,0.02,0.02,000,0.02
2013-07-18,0.02,0.02,0.02,0.02,000,0.02
