Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.04,0.04,0.04,0.04,000,0.04
2013-09-19,0.04,0.04,0.04,0.04,000,0.04
2013-09-18,0.05,0.05,0.04,0.04,123000,0.04
2013-09-17,0.05,0.05,0.05,0.05,13000,0.05
2013-09-16,0.05,0.05,0.05,0.05,000,0.05
2013-09-13,0.05,0.05,0.05,0.05,000,0.05
2013-09-12,0.05,0.05,0.05,0.05,41000,0.05
2013-09-11,0.05,0.05,0.05,0.05,000,0.05
2013-09-10,0.05,0.05,0.05,0.05,132000,0.05
2013-09-09,0.05,0.05,0.05,0.05,000,0.05
2013-09-06,0.05,0.05,0.05,0.05,000,0.05
2013-09-05,0.05,0.05,0.05,0.05,000,0.05
2013-09-04,0.05,0.05,0.05,0.05,000,0.05
2013-09-03,0.05,0.05,0.05,0.05,28500,0.05
2013-09-02,0.05,0.05,0.05,0.05,76600,0.05
2013-08-30,0.05,0.05,0.05,0.05,000,0.05
2013-08-29,0.05,0.05,0.05,0.05,000,0.05
2013-08-28,0.05,0.05,0.05,0.05,154200,0.05
2013-08-27,0.06,0.06,0.06,0.06,000,0.06
2013-08-26,0.06,0.06,0.06,0.06,27100,0.06
2013-08-23,0.06,0.06,0.06,0.06,41800,0.06
2013-08-22,0.06,0.06,0.06,0.06,11600,0.06
2013-08-21,0.06,0.06,0.06,0.06,000,0.06
2013-08-20,0.07,0.07,0.06,0.06,88000,0.06
2013-08-19,0.06,0.07,0.06,0.06,199000,0.06
2013-08-16,0.07,0.07,0.07,0.07,70000,0.07
2013-08-15,0.07,0.07,0.07,0.07,000,0.07
2013-08-14,0.06,0.07,0.06,0.07,133000,0.07
2013-08-13,0.08,0.08,0.08,0.08,000,0.08
2013-08-12,0.08,0.08,0.08,0.08,000,0.08
2013-08-09,0.08,0.08,0.08,0.08,325000,0.08
2013-08-08,0.08,0.08,0.08,0.08,50000,0.08
2013-08-07,0.08,0.08,0.08,0.08,000,0.08
2013-08-06,0.08,0.08,0.08,0.08,329300,0.08
2013-08-05,0.07,0.08,0.07,0.08,48300,0.08
2013-08-02,0.06,0.06,0.06,0.06,69300,0.06
2013-08-01,0.06,0.06,0.06,0.06,000,0.06
2013-07-31,0.06,0.06,0.06,0.06,000,0.06
2013-07-30,0.06,0.06,0.06,0.06,000,0.06
2013-07-29,0.06,0.06,0.06,0.06,24000,0.06
2013-07-26,0.06,0.06,0.06,0.06,52600,0.06
2013-07-25,0.06,0.06,0.06,0.06,33300,0.06
2013-07-24,0.05,0.05,0.05,0.05,115000,0.05
2013-07-23,0.05,0.05,0.05,0.05,51000,0.05
2013-07-19,0.04,0.04,0.04,0.04,000,0.04
2013-07-18,0.04,0.04,0.04,0.04,000,0.04
2013-07-17,0.04,0.04,0.04,0.04,000,0.04
2013-07-16,0.04,0.04,0.04,0.04,000,0.04
2013-07-15,0.04,0.04,0.04,0.04,000,0.04
2013-07-12,0.04,0.04,0.04,0.04,149800,0.04
2013-07-11,0.04,0.04,0.04,0.04,000,0.04
2013-07-10,0.04,0.04,0.04,0.04,000,0.04
2013-07-09,0.04,0.04,0.04,0.04,71000,0.04
2013-07-08,0.04,0.04,0.04,0.04,14400,0.04
2013-07-05,0.04,0.04,0.04,0.04,10000,0.04
2013-07-04,0.04,0.04,0.04,0.04,000,0.04
2013-07-03,0.04,0.04,0.04,0.04,10200,0.04
2013-07-02,0.04,0.04,0.04,0.04,000,0.04
2013-07-01,0.04,0.04,0.04,0.04,000,0.04
2013-06-28,0.04,0.04,0.04,0.04,173700,0.04
2013-06-27,0.04,0.04,0.04,0.04,168000,0.04
2013-06-26,0.04,0.04,0.04,0.04,74300,0.04
2013-06-25,0.04,0.04,0.04,0.04,55000,0.04
2013-06-24,0.04,0.04,0.04,0.04,123000,0.04
2013-06-21,0.04,0.04,0.04,0.04,196800,0.04
2013-06-20,0.04,0.04,0.04,0.04,120000,0.04
2013-06-18,0.04,0.06,0.04,0.06,569600,0.06
2013-06-17,0.04,0.04,0.04,0.04,154600,0.04
2013-06-14,0.03,0.03,0.03,0.03,000,0.03
2013-06-13,0.03,0.03,0.03,0.03,59700,0.03
2013-06-12,0.03,0.03,0.03,0.03,000,0.03
2013-06-11,0.03,0.03,0.03,0.03,224500,0.03
2013-06-10,0.04,0.04,0.04,0.04,000,0.04
2013-06-07,0.04,0.04,0.04,0.04,000,0.04
2013-06-06,0.04,0.04,0.04,0.04,000,0.04
2013-06-05,0.04,0.04,0.04,0.04,000,0.04
2013-06-04,0.03,0.04,0.03,0.04,190500,0.04
2013-06-03,0.04,0.04,0.04,0.04,50000,0.04
2013-05-31,0.04,0.04,0.04,0.04,000,0.04
2013-05-30,0.04,0.04,0.04,0.04,000,0.04
2013-05-29,0.04,0.04,0.04,0.04,000,0.04
2013-05-28,0.04,0.04,0.04,0.04,000,0.04
2013-05-27,0.04,0.04,0.04,0.04,000,0.04
2013-05-24,0.04,0.04,0.04,0.04,000,0.04
2013-05-23,0.04,0.04,0.04,0.04,20000,0.04
2013-05-22,0.04,0.04,0.04,0.04,000,0.04
2013-05-21,0.04,0.04,0.04,0.04,000,0.04
2013-05-20,0.05,0.05,0.04,0.04,245000,0.04
